"RG","TG","COEF","RE"
"POLK_SMIM22","POLK","SMIM22",-0.00483186231963223,0.0151928311672086
"CLIC3_PLAAT4","CLIC3","PLAAT4",0.000135009260644045,0.000383599324797756
"CFI_LIMD2","CFI","LIMD2",-0.0542024399462825,0.0549769226145404
"ARHGAP4_IFI30","ARHGAP4","IFI30",0.0648531498762307,0.172413894002464
"MDK_PAGE5","MDK","PAGE5",-0.00692453461980654,0.0533034952346836
"GPNMB_PRXL2A","GPNMB","PRXL2A",-0.00728170793564192,0.014038919060371
"EREG_CXCL16","EREG","CXCL16",-0.173626984939203,0.359018958427113
"RAC2_SPOCD1","RAC2","SPOCD1",0.190510587989283,0.519862927656329
"VIM_COL5A1","VIM","COL5A1",0.0647128291921819,0.271714783077008
"GSN_E2F2","GSN","E2F2",-0.085544296351452,0.445335930868799
"KRAS_AMIGO2","KRAS","AMIGO2",-0.213303850729938,0.94002228561408
"NUP210_TNFRSF11B","NUP210","TNFRSF11B",0.562053532420297,1.85534960057757
"CDKN1B_GABRE","CDKN1B","GABRE",-0.100793433572136,0.493573199991548
"SEMA3B_DVL2","SEMA3B","DVL2",-0.0332337719507471,0.133833259728475
"DPP4_RAB25","DPP4","RAB25",0.0130626942671537,0.0237612126399677
"CCDC9B_OCIAD2","CCDC9B","OCIAD2",0.158735108324574,0.522105067192837
"TCEAL9_ANXA2","TCEAL9","ANXA2",-0.0245555983572925,0.118374568225847
"AIF1_CYBRD1","AIF1","CYBRD1",-0.0938913530484771,0.0387120721338752
"CXCL5_SMIM22","CXCL5","SMIM22",0.0710940889822864,0.182474522916182
"FOS_EGR1","FOS","EGR1",0.232090899856734,1.54063998802659
"KRT5_LAPTM5","KRT5","LAPTM5",0.0310246211426602,0.050137606782943
"AXIN2_TRIM22","AXIN2","TRIM22",-0.0146238806210489,0.0514658332597539
"TRIB2_MUC13","TRIB2","MUC13",0.0128446375688183,0.0347828758821195
"CXCR4_REG4","CXCR4","REG4",-0.174831904994151,0.16808778583978
"NMU_RAB38","NMU","RAB38",0.10262836909104,0.359378710756218
"BCHE_POPDC3","BCHE","POPDC3",0.0261510780754247,0.0212182768186686
"AKAP12_DEFB1","AKAP12","DEFB1",-0.191915842479331,0.565101439814764
"ITGBL1_EFEMP1","ITGBL1","EFEMP1",0.485363599260674,0.405987324056565
"MUC2_CPVL","MUC2","CPVL",-0.157628423943856,0.122073062050397
"TP53I11_CMBL","TP53I11","CMBL",0.240125021697729,0.987760310400722
"NRCAM_BST2","NRCAM","BST2",-0.00833788719576731,0.00907281945231183
"EIF1AY_NR2F1","EIF1AY","NR2F1",0.0447835685592879,0.0573391962840571
"TUSC3_MYLK","TUSC3","MYLK",-0.00262301150904936,0.00444874431517645
"PLAT_FZD5","PLAT","FZD5",-0.0263950857577932,0.0479588440934561
"USP41_RAB13","USP41","RAB13",-0.169461504275927,0.527628014792677
"PSCA_SERPINH1","PSCA","SERPINH1",-0.0298493706824807,0.0710763142503402
"ARL4C_RB1","ARL4C","RB1",0.015008236582687,0.0420231171690213
"LAMA5_IRF4","LAMA5","IRF4",-0.0125887450924538,0.0815951161931383
"KRT81_AHNAK2","KRT81","AHNAK2",-0.0160356604436028,0.0297745736990752
"PLBD1_FXYD6","PLBD1","FXYD6",-0.0239593950682856,0.107559044164229
"ID3_PSMB9","ID3","PSMB9",-0.0361073875326503,0.223311363573946
"TFPI2_WNT1","TFPI2","WNT1",-0.00452362917116239,0.00556404017724352
"SLC43A3_KRAS","SLC43A3","KRAS",-0.0030582790539914,0.00875204675306937
"DDR1_PTPN6","DDR1","PTPN6",0.208974797256614,1.2458602159393
"CD70_ITM2A","CD70","ITM2A",0.146331064975924,0.226106588121332
"RAB13_MGP","RAB13","MGP",-0.00482818365620848,0.0297552192360076
"CHMP4C_GSDME","CHMP4C","GSDME",-0.0411198049736545,0.173117152111303
"LMNA_PHLDA2","LMNA","PHLDA2",0.140341306838541,1.12270035437487
"KLK10_KRT19","KLK10","KRT19",0.0231481816142185,0.0586605098375834
"TRIB2_DKK1","TRIB2","DKK1",-0.0192145539729899,0.052032409820208
"PAPSS2_EPAS1","PAPSS2","EPAS1",1.41587742885391e-06,3.90893786877818e-06
"STC2_MFAP5","STC2","MFAP5",-0.101950096212125,0.246695136843995
"APOC1_AMIGO2","APOC1","AMIGO2",0.151835706439194,0.508011386854984
"ALOX5AP_FBLIM1","ALOX5AP","FBLIM1",0.266122784711136,0.0867764690771232
"SFRP1_CYP24A1","SFRP1","CYP24A1",0.0867569619045543,0.0185381662219731
"NES_ITGA2","NES","ITGA2",0.0201166928666194,0.0337935970651316
