"RG","TG","COEF","RE"
"FOSB_BCHE","FOSB","BCHE",0.0273698810633982,0.126692485955131
"CTNNA3_FGF5","CTNNA3","FGF5",0.0428881449804392,0.000603661749763525
"CXCR4_ARHGAP4","CXCR4","ARHGAP4",0.126837412724523,0.0379220322349541
"TXNIP_SEMA3C","TXNIP","SEMA3C",0.0474951136073017,0.297501039144156
"PLEK_LUM","PLEK","LUM",0.0839684736702526,0.0091779254343152
"COL4A5_OAS2","COL4A5","OAS2",-0.0593803182047212,0.175591851224382
"RARB_CTHRC1","RARB","CTHRC1",-0.00682562463976808,0.0141906857871956
"BCL2_FZD3","BCL2","FZD3",0.00138082129388328,0.00105806611697258
"FGF9_ERRFI1","FGF9","ERRFI1",-0.026450532458876,0.022310077721319
"CMBL_MAPK1","CMBL","MAPK1",0.00134128593808735,0.00472497420921146
"ACTA2_NUPR1","ACTA2","NUPR1",0.0813135943579453,0.682517220539056
"ITGA4_VEGFC","ITGA4","VEGFC",0.0174947823952221,0.0683166047004598
"GSDME_ALDH7A1","GSDME","ALDH7A1",0.028736525321332,0.156834026065761
"PMEL_CCNE1","PMEL","CCNE1",0.0487509132139326,0.0551407858867269
"B4GALNT4_SCG5","B4GALNT4","SCG5",0.131357975656069,0.268325789075938
"TFF3_SIRPA","TFF3","SIRPA",-0.132522649509413,0.0225910546418929
"PLBD1_MMP7","PLBD1","MMP7",0.016170334191328,0.0149853481259408
"PLAUR_CRIM1","PLAUR","CRIM1",0.0688076817014517,0.448502498584501
"DPP4_MYB","DPP4","MYB",0.0302624792329782,0.114967426539233
"SMARCA1_RPS6KB1","SMARCA1","RPS6KB1",0.00457285634955135,0.0246313482721008
"COTL1_TFPI2","COTL1","TFPI2",-0.0122803361775432,0.0941071436834491
"TMEM156_LRP6","TMEM156","LRP6",1.67167525589102e-05,1.72858402628342e-05
"IGFBP2_AXL","IGFBP2","AXL",-0.0377049738835091,0.107781767344507
"PTGFRN_CHGA","PTGFRN","CHGA",-0.00383653405717496,0.0141821904369229
"AC004556.3_CALB2","AC004556.3","CALB2",-0.233562374949977,0.34671268658778
"TFPI_ABI3BP","TFPI","ABI3BP",0.0582741574574776,0.344302281551095
"IRF6_PTGFRN","IRF6","PTGFRN",0.0673022080648977,0.0659709545038707
"LYZ_GAS6","LYZ","GAS6",0.0876689143805569,0.0196912801535957
"HCLS1_DDC","HCLS1","DDC",-0.00665215387213467,0.00934518545604684
"CES1_P3H3","CES1","P3H3",-0.0254625267028998,0.0249057254431418
"NRN1_PROCR","NRN1","PROCR",-0.0391153923142461,0.0688887970772616
"COTL1_AKR1B1","COTL1","AKR1B1",0.050415764322186,0.386348020802151
"MIA_UCP2","MIA","UCP2",-0.0439460997564143,0.0357050911522184
"PRSS21_SDC2","PRSS21","SDC2",-0.0338759992038009,0.00931095295472361
"CALB2_S100A9","CALB2","S100A9",0.00719015088985364,0.00610955691420009
"SRPX2_F3","SRPX2","F3",0.0586807907202186,0.254995812594715
"DHRS3_S100A11","DHRS3","S100A11",-0.0118414851054704,0.0484132620640902
"VAMP5_COL16A1","VAMP5","COL16A1",-0.19854140161125,1.32334897383457
"SCG2_TM4SF1","SCG2","TM4SF1",-0.114136625813701,0.242744347627549
"WNT7A_TNS4","WNT7A","TNS4",0.0525845918280624,0.0184829615427677
"FSCN1_OLFML3","FSCN1","OLFML3",0.269361977248219,1.90030171081076
"CRMP1_HLA.DQB1","CRMP1","HLA.DQB1",0.0402789277828105,0.125469279157434
"MUC1_CLDN3","MUC1","CLDN3",0.0287664115979579,0.0960196797636455
"MT2A_WNT2","MT2A","WNT2",-0.0106791574421467,0.126710996502308
"ITM2A_SMARCA1","ITM2A","SMARCA1",0.0592357863730344,0.0145463360440396
"FADS2_CLDN3","FADS2","CLDN3",0.00924012092747598,0.0576624567585501
"APC2_HSPG2","APC2","HSPG2",0.00652639323897358,0.00169665386948632
"GATA3_IGF2","GATA3","IGF2",0.0574405094255828,0.0402751009215434
"CRMP1_S100A11","CRMP1","S100A11",-0.00149400077667753,0.00465382796486388
"TSPAN8_SHH","TSPAN8","SHH",-0.00157321214419416,0.00090353433362755
"ITM2A_CTNNA3","ITM2A","CTNNA3",0.00243930355236634,0.000599011701519218
"ARHGAP29_LAMB3","ARHGAP29","LAMB3",0.00807719569248512,0.0351231937836366
"LAT2_GJB2","LAT2","GJB2",0.0509218608682049,0.051247873894027
"FSCN1_LMNA","FSCN1","LMNA",0.0203194596256304,0.143350239272091
"TGFA_PRSS8","TGFA","PRSS8",0.0028630977848827,0.00327762846741688
"TGFB1I1_UGT1A6","TGFB1I1","UGT1A6",-0.0124881844097627,0.0800392209244243
"PSCA_LYZ","PSCA","LYZ",-0.0293720417274045,0.035717972403559
"FLNC_IFITM3","FLNC","IFITM3",0.0553570977048112,0.35893984330799
"APOL1_AHNAK","APOL1","AHNAK",0.034370051377247,0.141301534552544
"MOXD1_IGFBP6","MOXD1","IGFBP6",0.0186176022542788,0.0949823662634821
"SPON2_NES","SPON2","NES",0.0255013323726143,0.112615909953258
"ACTA2_VSIR","ACTA2","VSIR",0.232385070254316,1.95055714234641
"ID3_GRB7","ID3","GRB7",-0.000444540683812335,0.00336330105012745
"DNER_IRF4","DNER","IRF4",0.0168934216197714,0.0308391565791641
"TRIM22_PALM","TRIM22","PALM",0.0196050644822978,0.117588524758757
"FGF16_RAB34","FGF16","RAB34",-0.00056894400839625,9.21912147166729e-05
"ACSL5_RBPMS","ACSL5","RBPMS",0.0430810108324783,0.0422745194023495
